HG00145	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188073/ERR188073_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188073/ERR188073_2.fastq.gz	ERS185111	HG00145.6.M_120119_1	GBR	6
HG00146	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188455/ERR188455_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188455/ERR188455_2.fastq.gz	ERS185338	HG00146.2.M_111216_1	GBR	2
HG00148	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188379/ERR188379_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188379/ERR188379_2.fastq.gz	ERS185257	HG00148.3.M_120202_6	GBR	3
HG00149	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188065/ERR188065_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188065/ERR188065_2.fastq.gz	ERS185333	HG00149.1.M_111124_6	GBR	1
HG00150	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188309/ERR188309_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188309/ERR188309_2.fastq.gz	ERS185070	HG00150.4.M_120208_7	GBR	4
HG00151	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188116/ERR188116_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188116/ERR188116_2.fastq.gz	ERS185251	HG00151.3.M_120202_4	GBR	3
HG00152	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188084/ERR188084_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188084/ERR188084_2.fastq.gz	ERS185312	HG00152.7.M_120219_3	GBR	7
HG00154	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188468/ERR188468_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188468/ERR188468_2.fastq.gz	ERS185376	HG00154.5.M_120131_7	GBR	5
HG00155	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_2.fastq.gz	ERS185215	HG00155.1.M_111124_2	GBR	1
HG00156	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188287/ERR188287_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188287/ERR188287_2.fastq.gz	ERS185243	HG00156.4.M_120208_1	GBR	4
HG00157	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188041/ERR188041_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188041/ERR188041_2.fastq.gz	ERS185091	HG00157.5.M_120131_3	GBR	5
HG00158	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188332/ERR188332_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188332/ERR188332_2.fastq.gz	ERS185090	HG00158.1.M_111124_8	GBR	1
HG00159	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188164/ERR188164_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188164/ERR188164_2.fastq.gz	ERS185283	HG00159.7.M_120219_6	GBR	7
HG00160	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188387/ERR188387_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188387/ERR188387_2.fastq.gz	ERS185282	HG00160.3.M_120202_1	GBR	3
HG00171	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188190/ERR188190_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188190/ERR188190_2.fastq.gz	ERS185245	HG00171.3.M_120202_2	FIN	3
HG00173	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188445/ERR188445_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188445/ERR188445_2.fastq.gz	ERS185225	HG00173.3.M_120202_1	FIN	3
HG00174	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188163/ERR188163_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188163/ERR188163_2.fastq.gz	ERS185491	HG00174.4.M_120208_3	FIN	4
HG00176	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188187/ERR188187_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188187/ERR188187_2.fastq.gz	ERS185299	HG00176.4.M_120208_2	FIN	4
HG00177	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188180/ERR188180_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188180/ERR188180_2.fastq.gz	ERS185418	HG00177.4.M_120208_8	FIN	4
HG00178	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188248/ERR188248_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188248/ERR188248_2.fastq.gz	ERS185089	HG00178.4.M_120208_8	FIN	4
HG00179	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188304/ERR188304_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188304/ERR188304_2.fastq.gz	ERS185398	HG00179.1.M_111124_8	FIN	1
